コード,銘柄名,市場区分,更新日
8101,ＧＳＩクレオス,プライム,2023/08/09
8103,明和産業,プライム,2023/08/09
8111,ゴールドウイン,プライム,2023/08/09
8113,ユニ・チャーム,プライム,2023/08/09
8125,ワキタ,プライム,2023/08/09
8129,東邦ホールディングス,プライム,2023/08/09
8130,サンゲツ,プライム,2023/08/09
8132,シナネンホールディングス,プライム,2023/08/09
8133,伊藤忠エネクス,プライム,2023/08/09
8136,サンリオ,プライム,2023/08/09
8137,サンワテクノス,プライム,2023/08/09
8141,新光商事,プライム,2023/08/09
8142,トーホー,プライム,2023/08/09
8150,三信電気,プライム,2023/08/09
8151,東陽テクニカ,プライム,2023/08/09
8154,加賀電子,プライム,2023/08/09
8158,ソーダニッカ,プライム,2023/08/09
8159,立花エレテック,プライム,2023/08/09
8275,フォーバル,プライム,2023/08/09
8283,ＰＡＬＴＡＣ,プライム,2023/08/09
8285,三谷産業,プライム,2023/08/09
8291,日産東京販売ホールディングス,プライム,2023/08/09
9260,西本Ｗｉｓｍｅｔｔａｃホールディングス,プライム,2023/08/09
9273,コーア商事ホールディングス,プライム,2023/08/09
9274,国際紙パルプ商事,プライム,2023/08/09
9305,ヤマタネ,プライム,2023/08/09
9824,泉州電業,プライム,2023/08/09
9830,トラスコ中山,プライム,2023/08/09
9832,オートバックスセブン,プライム,2023/08/09
9837,モリト,プライム,2023/08/09
9869,加藤産業,プライム,2023/08/09
9880,イノテック,プライム,2023/08/09
9882,イエローハット,プライム,2023/08/09
9896,ＪＫホールディングス,プライム,2023/08/09
9902,日伝,プライム,2023/08/09
9932,杉本商事,プライム,2023/08/09
9934,因幡電機産業,プライム,2023/08/09
9960,東テク,プライム,2023/08/09
9962,ミスミグループ本社,プライム,2023/08/09
9987,スズケン,プライム,2023/08/09
2659,サンエー,プライム,2023/08/09
2664,カワチ薬品,プライム,2023/08/09
2670,エービーシー・マート,プライム,2023/08/09
2674,ハードオフコーポレーション,プライム,2023/08/09
2678,アスクル,プライム,2023/08/09
2681,ゲオホールディングス,プライム,2023/08/09
2685,アダストリア,プライム,2023/08/09
2722,アイケイ,プライム,2023/08/09
2726,パルグループホールディングス,プライム,2023/08/09
2730,エディオン,プライム,2023/08/09
2734,サーラコーポレーション,プライム,2023/08/09
2735,ワッツ,プライム,2023/08/09
2742,ハローズ,プライム,2023/08/09
2791,大黒天物産,プライム,2023/08/09
2792,ハニーズホールディングス,プライム,2023/08/09
2796,ファーマライズホールディングス,プライム,2023/08/09
3028,アルペン,プライム,2023/08/09
3034,クオールホールディングス,プライム,2023/08/09
3046,ジンズホールディングス,プライム,2023/08/09
3048,ビックカメラ,プライム,2023/08/09
3050,ＤＣＭホールディングス,プライム,2023/08/09
3064,ＭｏｎｏｔａＲＯ,プライム,2023/08/09
3086,Ｊ．フロント　リテイリング,プライム,2023/08/09
3088,マツキヨココカラ＆カンパニー,プライム,2023/08/09
3092,ＺＯＺＯ,プライム,2023/08/09
3093,トレジャー・ファクトリー,プライム,2023/08/09
3099,三越伊勢丹ホールディングス,プライム,2023/08/09
3134,Ｈａｍｅｅ,プライム,2023/08/09
3135,マーケットエンタープライズ,プライム,2023/08/09
3141,ウエルシアホールディングス,プライム,2023/08/09
3148,クリエイトＳＤホールディングス,プライム,2023/08/09
3179,シュッピン,プライム,2023/08/09
3182,オイシックス・ラ・大地,プライム,2023/08/09
3186,ネクステージ,プライム,2023/08/09
3191,ジョイフル本田,プライム,2023/08/09
3199,綿半ホールディングス,プライム,2023/08/09
3319,ゴルフダイジェスト・オンライン,プライム,2023/08/09
3328,ＢＥＥＮＯＳ,プライム,2023/08/09
3333,あさひ,プライム,2023/08/09
3341,日本調剤,プライム,2023/08/09
3349,コスモス薬品,プライム,2023/08/09
3382,セブン＆アイ・ホールディングス,プライム,2023/08/09
3391,ツルハホールディングス,プライム,2023/08/09
3395,サンマルクホールディングス,プライム,2023/08/09
3415,ＴＯＫＹＯ　ＢＡＳＥ,プライム,2023/08/09
3538,ウイルプラスホールディングス,プライム,2023/08/09
3539,ＪＭホールディングス,プライム,2023/08/09
3544,サツドラホールディングス,プライム,2023/08/09
3546,アレンザホールディングス,プライム,2023/08/09
3548,バロックジャパンリミテッド,プライム,2023/08/09
3549,クスリのアオキホールディングス,プライム,2023/08/09
4350,メディカルシステムネットワーク,プライム,2023/08/09
7135,藤久ホールディングス,プライム,2023/08/09
7419,ノジマ,プライム,2023/08/09
7445,ライトオン,プライム,2023/08/09
7453,良品計画,プライム,2023/08/09
7455,パリミキホールディングス,プライム,2023/08/09
7475,アルビス,プライム,2023/08/09
7494,コナカ,プライム,2023/08/09
7508,Ｇ- ７ホールディングス,プライム,2023/08/09
7513,コジマ,プライム,2023/08/09
7514,ヒマラヤ,プライム,2023/08/09
7516,コーナン商事,プライム,2023/08/09
7520,エコス,プライム,2023/08/09
7532,パン・パシフィック・インターナショナルホ,プライム,2023/08/09
7545,西松屋チェーン,プライム,2023/08/09
7561,ハークスレイ,プライム,2023/08/09
7596,魚力,プライム,2023/08/09
7605,フジ・コーポレーション,プライム,2023/08/09
7606,ユナイテッドアローズ,プライム,2023/08/09
7649,スギホールディングス,プライム,2023/08/09
7679,薬王堂ホールディングス,プライム,2023/08/09
8005,スクロール,プライム,2023/08/09
8008,ヨンドシーホールディングス,プライム,2023/08/09
8165,千趣会,プライム,2023/08/09
8167,リテールパートナーズ,プライム,2023/08/09
8173,上新電機,プライム,2023/08/09
8174,日本瓦斯,プライム,2023/08/09
8185,チヨダ,プライム,2023/08/09
8194,ライフコーポレーション,プライム,2023/08/09
8203,ＭｒＭａｘＨＤ,プライム,2023/08/09
8214,ＡＯＫＩホールディングス,プライム,2023/08/09
8217,オークワ,プライム,2023/08/09
8218,コメリ,プライム,2023/08/09
8219,青山商事,プライム,2023/08/09
8227,しまむら,プライム,2023/08/09
8233,高島屋,プライム,2023/08/09
8237,松屋,プライム,2023/08/09
8242,エイチ・ツー・オー　リテイリング,プライム,2023/08/09
8252,丸井グループ,プライム,2023/08/09
8255,アクシアル　リテイリング,プライム,2023/08/09
8267,イオン,プライム,2023/08/09
8273,イズミ,プライム,2023/08/09
8276,平和堂,プライム,2023/08/09
8278,フジ,プライム,2023/08/09
8279,ヤオコー,プライム,2023/08/09
8281,ゼビオホールディングス,プライム,2023/08/09
8282,ケーズホールディングス,プライム,2023/08/09
9262,シルバーライフ,プライム,2023/08/09
9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,プライム,2023/08/09
9278,ブックオフグループホールディングス,プライム,2023/08/09
9627,アインホールディングス,プライム,2023/08/09
9831,ヤマダホールディングス,プライム,2023/08/09
9842,アークランドサカモト,プライム,2023/08/09
9843,ニトリホールディングス,プライム,2023/08/09
9946,ミニストップ,プライム,2023/08/09
9948,アークス,プライム,2023/08/09
9956,バローホールディングス,プライム,2023/08/09
9974,ベルク,プライム,2023/08/09
9983,ファーストリテイリング,プライム,2023/08/09
9989,サンドラッグ,プライム,2023/08/09
9990,サックスバー　ホールディングス,プライム,2023/08/09
9997,ベルーナ,プライム,2023/08/09
5830,いよぎんホールディングス,プライム,2023/08/09
5831,しずおかホールディングス,プライム,2023/08/09
5832,ちゅうぎんホールディングス,プライム,2023/08/09
5838,楽天銀行,プライム,2023/08/09
7167,めぶきフィナンシャルグループ,プライム,2023/08/09
7173,東京きらぼしフィナンシャルグループ,プライム,2023/08/09
7180,九州フィナンシャルグループ,プライム,2023/08/09
7182,ゆうちょ銀行,プライム,2023/08/09
7184,富山第一銀行,プライム,2023/08/09
7186,コンコルディア・フィナンシャルグループ,プライム,2023/08/09
7189,西日本フィナンシャルホールディングス,プライム,2023/08/09
7322,三十三フィナンシャルグループ,プライム,2023/08/09
7327,第四北越フィナンシャルグループ,プライム,2023/08/09
7337,ひろぎんホールディングス,プライム,2023/08/09
7350,おきなわフィナンシャルグループ,プライム,2023/08/09
7380,十六フィナンシャルグループ,プライム,2023/08/09
7381,北國フィナンシャルホールディングス,プライム,2023/08/09
7384,プロクレアホールディングス,プライム,2023/08/09
7389,あいちホールディングス,プライム,2023/08/09
8304,あおぞら銀行,プライム,2023/08/09
8306,三菱ＵＦＪフィナンシャル・グループ,プライム,2023/08/09
8308,りそなホールディングス,プライム,2023/08/09
8309,三井住友トラスト・ホールディングス,プライム,2023/08/09
8316,三井住友フィナンシャルグループ,プライム,2023/08/09
8331,千葉銀行,プライム,2023/08/09
8334,群馬銀行,プライム,2023/08/09
8336,武蔵野銀行,プライム,2023/08/09
8337,千葉興業銀行,プライム,2023/08/09
8338,筑波銀行,プライム,2023/08/09
8341,七十七銀行,プライム,2023/08/09
8343,秋田銀行,プライム,2023/08/09
8344,山形銀行,プライム,2023/08/09
8345,岩手銀行,プライム,2023/08/09
8346,東邦銀行,プライム,2023/08/09
8354,ふくおかフィナンシャルグループ,プライム,2023/08/09
8358,スルガ銀行,プライム,2023/08/09
8359,八十二銀行,プライム,2023/08/09
8360,山梨中央銀行,プライム,2023/08/09
8361,大垣共立銀行,プライム,2023/08/09
8362,福井銀行,プライム,2023/08/09
8364,清水銀行,プライム,2023/08/09
8366,滋賀銀行,プライム,2023/08/09
8367,南都銀行,プライム,2023/08/09
8368,百五銀行,プライム,2023/08/09
8370,紀陽銀行,プライム,2023/08/09
8377,ほくほくフィナンシャルグループ,プライム,2023/08/09
8381,山陰合同銀行,プライム,2023/08/09
8386,百十四銀行,プライム,2023/08/09
8387,四国銀行,プライム,2023/08/09
8388,阿波銀行,プライム,2023/08/09
8392,大分銀行,プライム,2023/08/09
8393,宮崎銀行,プライム,2023/08/09
8395,佐賀銀行,プライム,2023/08/09
8399,琉球銀行,プライム,2023/08/09
8410,セブン銀行,プライム,2023/08/09
8411,みずほフィナンシャルグループ,プライム,2023/08/09
8418,山口フィナンシャルグループ,プライム,2023/08/09
8522,名古屋銀行,プライム,2023/08/09
8524,北洋銀行,プライム,2023/08/09
8541,愛媛銀行,プライム,2023/08/09
8544,京葉銀行,プライム,2023/08/09
8550,栃木銀行,プライム,2023/08/09
8551,北日本銀行,プライム,2023/08/09
8558,東和銀行,プライム,2023/08/09
8600,トモニホールディングス,プライム,2023/08/09
8713,フィデアホールディングス,プライム,2023/08/09
8714,池田泉州ホールディングス,プライム,2023/08/09
8601,大和証券グループ本社,プライム,2023/08/09
8604,野村ホールディングス,プライム,2023/08/09
8609,岡三証券グループ,プライム,2023/08/09
8613,丸三証券,プライム,2023/08/09
8614,東洋証券,プライム,2023/08/09
8616,東海東京フィナンシャル・ホールディングス,プライム,2023/08/09
8622,水戸証券,プライム,2023/08/09
8624,いちよし証券,プライム,2023/08/09
8628,松井証券,プライム,2023/08/09
8698,マネックスグループ,プライム,2023/08/09
8706,極東証券,プライム,2023/08/09
8707,岩井コスモホールディングス,プライム,2023/08/09
8708,アイザワ証券グループ,プライム,2023/08/09
7181,かんぽ生命保険,プライム,2023/08/09
8630,ＳＯＭＰＯホールディングス,プライム,2023/08/09
8715,アニコム　ホールディングス,プライム,2023/08/09
8725,ＭＳ＆ＡＤインシュアランスグループホール,プライム,2023/08/09
8750,第一生命ホールディングス,プライム,2023/08/09
8766,東京海上ホールディングス,プライム,2023/08/09
8795,Ｔ＆Ｄホールディングス,プライム,2023/08/09
7148,ＦＰＧ,プライム,2023/08/09
7164,全国保証,プライム,2023/08/09
7172,ジャパンインベストメントアドバイザー,プライム,2023/08/09
7187,ジェイリース,プライム,2023/08/09
7191,イントラスト,プライム,2023/08/09
7196,Ｃａｓａ,プライム,2023/08/09
7198,アルヒ,プライム,2023/08/09
7199,プレミアグループ,プライム,2023/08/09
7347,マーキュリアホールディングス,プライム,2023/08/09
7383,ネットプロテクションズホールディングス,プライム,2023/08/09
8253,クレディセゾン,プライム,2023/08/09
8421,信金中央金庫,プライム,2023/08/09
8424,芙蓉総合リース,プライム,2023/08/09
8425,みずほリース,プライム,2023/08/09
8439,東京センチュリー,プライム,2023/08/09
8473,ＳＢＩホールディングス,プライム,2023/08/09
8511,日本証券金融,プライム,2023/08/09
8515,アイフル,プライム,2023/08/09
8566,リコーリース,プライム,2023/08/09
8570,イオンフィナンシャルサービス,プライム,2023/08/09
8584,ジャックス,プライム,2023/08/09
8585,オリエントコーポレーション,プライム,2023/08/09
8591,オリックス,プライム,2023/08/09
8593,三菱ＨＣキャピタル,プライム,2023/08/09
8595,ジャフコ　グループ,プライム,2023/08/09
8697,日本取引所グループ,プライム,2023/08/09
8739,スパークス・グループ,プライム,2023/08/09
8771,イー・ギャランティ,プライム,2023/08/09
8793,ＮＥＣキャピタルソリューション,プライム,2023/08/09
2337,いちご,プライム,2023/08/09
2353,日本駐車場開発,プライム,2023/08/09
2975,スター・マイカ・ホールディングス,プライム,2023/08/09
2980,ＳＲＥホールディングス,プライム,2023/08/09
2982,ＡＤワークスグループ,プライム,2023/08/09
3003,ヒューリック,プライム,2023/08/09
3231,野村不動産ホールディングス,プライム,2023/08/09
3232,三重交通グループホールディングス,プライム,2023/08/09
3245,ディア・ライフ,プライム,2023/08/09
3252,地主,プライム,2023/08/09
3276,日本管理センター,プライム,2023/08/09
3284,フージャースホールディングス,プライム,2023/08/09
3288,オープンハウスグループ,プライム,2023/08/09
3289,東急不動産ホールディングス,プライム,2023/08/09
3291,飯田グループホールディングス,プライム,2023/08/09
3299,ムゲンエステート,プライム,2023/08/09
3452,ビーロット,プライム,2023/08/09
3454,ファーストブラザーズ,プライム,2023/08/09
3457,Ａｎｄ　Ｄｏホールディングス,プライム,2023/08/09
3458,シーアールイー,プライム,2023/08/09
3465,ケイアイスター不動産,プライム,2023/08/09
3467,アグレ都市デザイン,プライム,2023/08/09
3475,グッドコムアセット,プライム,2023/08/09
3480,ジェイ・エス・ビー,プライム,2023/08/09
3482,ロードスターキャピタル,プライム,2023/08/09
3484,テンポイノベーション,プライム,2023/08/09
3486,グローバル・リンク・マネジメント,プライム,2023/08/09
3489,フェイスネットワーク,プライム,2023/08/09
4666,パーク２４,プライム,2023/08/09
4809,パラカ,プライム,2023/08/09
6620,宮越ホールディングス,プライム,2023/08/09
8801,三井不動産,プライム,2023/08/09
8802,三菱地所,プライム,2023/08/09
8803,平和不動産,プライム,2023/08/09
8804,東京建物,プライム,2023/08/09
8818,京阪神ビルディング,プライム,2023/08/09
8830,住友不動産,プライム,2023/08/09
8848,レオパレス２１,プライム,2023/08/09
8850,スターツコーポレーション,プライム,2023/08/09
8860,フジ住宅,プライム,2023/08/09
8864,空港施設,プライム,2023/08/09
8869,明和地所,プライム,2023/08/09
8871,ゴールドクレスト,プライム,2023/08/09
8877,エスリード,プライム,2023/08/09
8881,日神グループホールディングス,プライム,2023/08/09
8892,日本エスコン,プライム,2023/08/09
8897,タカラレーベン,プライム,2023/08/09
8904,ＡＶＡＮＴＩＡ,プライム,2023/08/09
8905,イオンモール,プライム,2023/08/09
8917,ファースト住建,プライム,2023/08/09
8919,カチタス,プライム,2023/08/09
8923,トーセイ,プライム,2023/08/09
8934,サンフロンティア不動産,プライム,2023/08/09
8935,ＦＪネクストホールディングス,プライム,2023/08/09
8940,インテリックス,プライム,2023/08/09
8945,サンネクスタグループ,プライム,2023/08/09
8999,グランディハウス,プライム,2023/08/09
9706,日本空港ビルデング,プライム,2023/08/09
9001,東武鉄道,プライム,2023/08/09
9003,相鉄ホールディングス,プライム,2023/08/09
9005,東急,プライム,2023/08/09
9006,京浜急行電鉄,プライム,2023/08/09
9007,小田急電鉄,プライム,2023/08/09
9008,京王電鉄,プライム,2023/08/09
9009,京成電鉄,プライム,2023/08/09
9010,富士急行,プライム,2023/08/09
9020,東日本旅客鉄道,プライム,2023/08/09
9021,西日本旅客鉄道,プライム,2023/08/09
9022,東海旅客鉄道,プライム,2023/08/09
9024,西武ホールディングス,プライム,2023/08/09
9031,西日本鉄道,プライム,2023/08/09
9041,近鉄グループホールディングス,プライム,2023/08/09
9042,阪急阪神ホールディングス,プライム,2023/08/09
9044,南海電気鉄道,プライム,2023/08/09
9045,京阪ホールディングス,プライム,2023/08/09
9046,神戸電鉄,プライム,2023/08/09
9048,名古屋鉄道,プライム,2023/08/09
9052,山陽電気鉄道,プライム,2023/08/09
9081,神奈川中央交通,プライム,2023/08/09
9142,九州旅客鉄道,プライム,2023/08/09
2384,ＳＢＳホールディングス,プライム,2023/08/09
9025,鴻池運輸,プライム,2023/08/09
9037,ハマキョウレックス,プライム,2023/08/09
9039,サカイ引越センター,プライム,2023/08/09
9064,ヤマトホールディングス,プライム,2023/08/09
9065,山九,プライム,2023/08/09
9068,丸全昭和運輸,プライム,2023/08/09
9069,センコーグループホールディングス,プライム,2023/08/09
9070,トナミホールディングス,プライム,2023/08/09
9072,ニッコンホールディングス,プライム,2023/08/09
9075,福山通運,プライム,2023/08/09
9076,セイノーホールディングス,プライム,2023/08/09
9090,丸和運輸機関,プライム,2023/08/09
9143,ＳＧホールディングス,プライム,2023/08/09
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディン,プライム,2023/08/09
9101,日本郵船,プライム,2023/08/09
9104,商船三井,プライム,2023/08/09
9107,川崎汽船,プライム,2023/08/09
9110,ＮＳユナイテッド海運,プライム,2023/08/09
9119,飯野海運,プライム,2023/08/09
9201,日本航空,プライム,2023/08/09
9202,ＡＮＡホールディングス,プライム,2023/08/09
9066,日新,プライム,2023/08/09
9301,三菱倉庫,プライム,2023/08/09
9302,三井倉庫ホールディングス,プライム,2023/08/09
9303,住友倉庫,プライム,2023/08/09
9304,澁澤倉庫,プライム,2023/08/09
9310,日本トランスシティ,プライム,2023/08/09
9319,中央倉庫,プライム,2023/08/09
9324,安田倉庫,プライム,2023/08/09
9325,ファイズホールディングス,プライム,2023/08/09
9351,東洋埠頭,プライム,2023/08/09
9364,上組,プライム,2023/08/09
9381,エーアイテイー,プライム,2023/08/09
9384,内外トランスライン,プライム,2023/08/09
9386,日本コンセプト,プライム,2023/08/09
3934,ベネフィットジャパン,プライム,2023/08/09
4390,アイ・ピー・エス,プライム,2023/08/09
4439,東名,プライム,2023/08/09
4676,フジ・メディア・ホールディングス,プライム,2023/08/09
4839,ＷＯＷＯＷ,プライム,2023/08/09
9401,ＴＢＳホールディングス,プライム,2023/08/09
9404,日本テレビホールディングス,プライム,2023/08/09
9405,朝日放送グループホールディングス,プライム,2023/08/09
9409,テレビ朝日ホールディングス,プライム,2023/08/09
9412,スカパーＪＳＡＴホールディングス,プライム,2023/08/09
9413,テレビ東京ホールディングス,プライム,2023/08/09
9416,ビジョン,プライム,2023/08/09
9419,ワイヤレスゲート,プライム,2023/08/09
9424,日本通信,プライム,2023/08/09
9432,日本電信電話,プライム,2023/08/09
9433,ＫＤＤＩ,プライム,2023/08/09
9434,ソフトバンク,プライム,2023/08/09
9435,光通信,プライム,2023/08/09
9438,エムティーアイ,プライム,2023/08/09
9449,ＧＭＯインターネット,プライム,2023/08/09
9450,ファイバーゲート,プライム,2023/08/09
9613,エヌ・ティ・ティ・データ,プライム,2023/08/09
9984,ソフトバンクグループ,プライム,2023/08/09
9501,東京電力ホールディングス,プライム,2023/08/09
9502,中部電力,プライム,2023/08/09
9503,関西電力,プライム,2023/08/09
9504,中国電力,プライム,2023/08/09
9505,北陸電力,プライム,2023/08/09
9506,東北電力,プライム,2023/08/09
9507,四国電力,プライム,2023/08/09
9508,九州電力,プライム,2023/08/09
9509,北海道電力,プライム,2023/08/09
9511,沖縄電力,プライム,2023/08/09
9513,電源開発,プライム,2023/08/09
9517,イーレックス,プライム,2023/08/09
9519,レノバ,プライム,2023/08/09
9531,東京瓦斯,プライム,2023/08/09
9532,大阪瓦斯,プライム,2023/08/09
9533,東邦瓦斯,プライム,2023/08/09
9534,北海道瓦斯,プライム,2023/08/09
9535,広島ガス,プライム,2023/08/09
9536,西部ガスホールディングス,プライム,2023/08/09
9543,静岡ガス,プライム,2023/08/09
1973,ＮＥＣネッツエスアイ,プライム,2023/08/09
2120,ＬＩＦＵＬＬ,プライム,2023/08/09
2121,ミクシィ,プライム,2023/08/09
2124,ジェイエイシーリクルートメント,プライム,2023/08/09
2127,日本Ｍ＆Ａセンターホールディングス,プライム,2023/08/09
2130,メンバーズ,プライム,2023/08/09
2146,ＵＴグループ,プライム,2023/08/09
2148,アイティメディア,プライム,2023/08/09
2153,Ｅ・Ｊホールディングス,プライム,2023/08/09
2154,夢真ビーネックスグループ,プライム,2023/08/09
2157,コシダカホールディングス,プライム,2023/08/09
2163,アルトナー,プライム,2023/08/09
2168,パソナグループ,プライム,2023/08/09
2170,リンクアンドモチベーション,プライム,2023/08/09
2175,エス・エム・エス,プライム,2023/08/09
2180,サニーサイドアップグループ,プライム,2023/08/09
2181,パーソルホールディングス,プライム,2023/08/09
2183,リニカル,プライム,2023/08/09
2196,エスクリ,プライム,2023/08/09
2198,アイ・ケイ・ケイホールディングス,プライム,2023/08/09
2301,学情,プライム,2023/08/09
2305,スタジオアリス,スタンダード,2025/02/27
2307,クロスキャット,プライム,2023/08/09
2311,エプコ,プライム,2023/08/09
2317,システナ,プライム,2023/08/09
2325,ＮＪＳ,プライム,2023/08/09
2326,デジタルアーツ,プライム,2023/08/09
2327,日鉄ソリューションズ,プライム,2023/08/09
2331,綜合警備保障,プライム,2023/08/09
2335,キューブシステム,プライム,2023/08/09
2359,コア,プライム,2023/08/09
2371,カカクコム,プライム,2023/08/09
2372,アイロムグループ,プライム,2023/08/09
2374,セントケア・ホールディング,プライム,2023/08/09
2378,ルネサンス,プライム,2023/08/09
2379,ディップ,プライム,2023/08/09
2389,デジタルホールディングス,プライム,2023/08/09
2395,新日本科学,プライム,2023/08/09
2410,キャリアデザインセンター,プライム,2023/08/09
2413,エムスリー,プライム,2023/08/09
2418,ツカダ・グローバルホールディング,プライム,2023/08/09
2424,ブラス,プライム,2023/08/09
2428,ウェルネット,プライム,2023/08/09
2429,ワールドホールディングス,プライム,2023/08/09
2432,ディー・エヌ・エー,プライム,2023/08/09
2433,博報堂ＤＹホールディングス,プライム,2023/08/09
2440,ぐるなび,プライム,2023/08/09
2445,タカミヤ,プライム,2023/08/09
2461,ファンコミュニケーションズ,プライム,2023/08/09
2462,ライク,プライム,2023/08/09
2464,ビジネス・ブレークスルー,プライム,2023/08/09
2471,エスプール,プライム,2023/08/09
2475,ＷＤＢホールディングス,プライム,2023/08/09
2477,手間いらず,プライム,2023/08/09
2489,アドウェイズ,プライム,2023/08/09
2491,バリューコマース,プライム,2023/08/09
2492,インフォマート,プライム,2023/08/09
2695,くら寿司,プライム,2023/08/09
2749,ＪＰホールディングス,プライム,2023/08/09
2752,フジオフードグループ本社,プライム,2023/08/09
2753,あみやき亭,プライム,2023/08/09
2764,ひらまつ,プライム,2023/08/09
3030,ハブ,プライム,2023/08/09
3031,ラクーンホールディングス,プライム,2023/08/09
3040,ソリトンシステムズ,プライム,2023/08/09
3053,ペッパーフードサービス,プライム,2023/08/09
3067,東京一番フーズ,プライム,2023/08/09
3073,ＤＤホ- ルディングス,プライム,2023/08/09
3087,ドトール・日レスホールディングス,プライム,2023/08/09
3091,ブロンコビリー,プライム,2023/08/09
3097,物語コーポレーション,プライム,2023/08/09
3193,鳥貴族ホールディングス,プライム,2023/08/09
3196,ホットランド,プライム,2023/08/09
3197,すかいらーくホールディングス,プライム,2023/08/09
3198,ＳＦＰホールディングス,プライム,2023/08/09
3221,ヨシックスホールディングス,プライム,2023/08/09
3371,ソフトクリエイトホールディングス,プライム,2023/08/09
3387,クリエイト・レストランツ・ホールディング,プライム,2023/08/09
3397,トリドールホールディングス,プライム,2023/08/09
3521,エコナックホールディングス,プライム,2023/08/09
3543,コメダホールディングス,プライム,2023/08/09
3561,力の源ホールディングス,プライム,2023/08/09
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥ,プライム,2023/08/09
3626,ＴＩＳ,プライム,2023/08/09
3627,ＪＮＳホールディングス,プライム,2023/08/09
3632,グリー,プライム,2023/08/09
3633,ＧＭＯペパボ,プライム,2023/08/09
3635,コーエーテクモホールディングス,プライム,2023/08/09
3636,三菱総合研究所,プライム,2023/08/09
3649,ファインデックス,プライム,2023/08/09
3655,ブレインパッド,プライム,2023/08/09
3656,ＫＬａｂ,プライム,2023/08/09
3657,ポールトゥウィンホールディングス,プライム,2023/08/09
3659,ネクソン,プライム,2023/08/09
3660,アイスタイル,プライム,2023/08/09
3661,エムアップホールディングス,プライム,2023/08/09
3662,エイチーム,プライム,2023/08/09
3665,エニグモ,プライム,2023/08/09
3666,テクノスジャパン,プライム,2023/08/09
3668,コロプラ,プライム,2023/08/09
3673,ブロードリーフ,プライム,2023/08/09
3675,クロス・マーケティンググループ,プライム,2023/08/09
3676,デジタルハーツホールディングス,プライム,2023/08/09
3678,メディアドゥ,プライム,2023/08/09
3679,じげん,プライム,2023/08/09
3681,ブイキューブ,プライム,2023/08/09
3683,サイバーリンクス,プライム,2023/08/09
3687,フィックスターズ,プライム,2023/08/09
3688,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,プライム,2023/08/09
3694,オプティム,プライム,2023/08/09
3696,セレス,プライム,2023/08/09
3697,ＳＨＩＦＴ,プライム,2023/08/09
3741,セック,プライム,2023/08/09
3762,テクマトリックス,プライム,2023/08/09
3763,プロシップ,プライム,2023/08/09
3765,ガンホー・オンライン・エンターテイメント,プライム,2023/08/09
3769,ＧＭＯペイメントゲートウェイ,プライム,2023/08/09
3771,システムリサーチ,プライム,2023/08/09
3774,インターネットイニシアティブ,プライム,2023/08/09
3778,さくらインターネット,プライム,2023/08/09
3788,ＧＭＯグローバルサイン・ホールディングス,プライム,2023/08/09
3817,ＳＲＡホールディングス,プライム,2023/08/09
3834,朝日ネット,プライム,2023/08/09
3835,ｅＢＡＳＥ,プライム,2023/08/09
3836,アバント,プライム,2023/08/09
3837,アドソル日進,プライム,2023/08/09
3839,ＯＤＫソリューションズ,プライム,2023/08/09
3843,フリービット,プライム,2023/08/09
3844,コムチュア,プライム,2023/08/09
3853,アステリア,プライム,2023/08/09
3854,アイル,プライム,2023/08/09
3901,マークラインズ,プライム,2023/08/09
3902,メディカル・データ・ビジョン,プライム,2023/08/09
3903,ｇｕｍｉ,プライム,2023/08/09
3912,モバイルファクトリー,プライム,2023/08/09
3915,テラスカイ,プライム,2023/08/09
3916,デジタル・インフォメーション・テクノロジ,プライム,2023/08/09
3918,ＰＣＩホールディングス,プライム,2023/08/09
3921,ネオジャパン,プライム,2023/08/09
3922,ＰＲ　ＴＩＭＥＳ,プライム,2023/08/09
3923,ラクス,プライム,2023/08/09
3924,ランドコンピュータ,プライム,2023/08/09
3925,ダブルスタンダード,プライム,2023/08/09
3926,オープンドア,プライム,2023/08/09
3928,マイネット,プライム,2023/08/09
3932,アカツキ,プライム,2023/08/09
3937,Ｕｂｉｃｏｍホールディングス,プライム,2023/08/09
3939,カナミックネットワーク,プライム,2023/08/09
3940,ノムラシステムコーポレーション,プライム,2023/08/09
3962,チェンジ,プライム,2023/08/09
3963,シンクロ・フード,プライム,2023/08/09
3964,オークネット,プライム,2023/08/09
3968,セグエグループ,プライム,2023/08/09
3978,マクロミル,プライム,2023/08/09
3981,ビーグリー,プライム,2023/08/09
3983,オロ,プライム,2023/08/09
3984,ユーザーローカル,プライム,2023/08/09
3985,テモナ,プライム,2023/08/09
3992,ニーズウェル,プライム,2023/08/09
3994,マネーフォワード,プライム,2023/08/09
3996,サインポスト,プライム,2023/08/09
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,プライム,2023/08/09
4072,電算システムホールディングス,プライム,2023/08/09
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,プライム,2023/08/09
4284,ソルクシーズ,プライム,2023/08/09
4286,ＣＬホールディングス,プライム,2023/08/09
